257,236,291
79,100,66
113,100,79
45,58,79
79,66,45
79,58,92
92,113,79
66,87,53
53,32,45
45,66,53
87,100,121
69,90,56
56,35,69
48,35,27
69,35,48
108,87,121
121,142,108
352,407,373
373,318,352
475,420,509
386,420,475
695,606,640
606,551,640
640,551,585
640,729,695
640,674,729
585,674,640
771,805,860
949,915,860
915,826,860
860,826,771
860,894,949
805,894,860
771,682,716
716,682,627
627,661,716
716,805,771
716,661,750
716,750,805
648,703,614
648,737,703
682,737,648
648,593,682
614,525,559
504,593,559
559,593,648
648,614,559
792,737,826
792,826,881
881,847,792
703,737,792
758,703,792
792,847,758
758,724,669
669,580,614
614,703,669
669,703,758
923,978,889
719,774,685
651,596,685
957,923,868
868,779,813
334,389,355
355,300,334
470,525,436
470,415,504
559,525,470
470,504,559
360,415,381
381,326,360
381,415,470
470,436,381
381,347,326
436,347,381
101,80,114
114,135,101
258,237,292
292,237,271
271,326,292
326,347,292
313,347,368
292,347,313
313,258,292
313,368,334
1313,1347,1402
1457,1368,1402
1402,1368,1313
1724,1580,1669
1635,1580,1724
1635,1601,1546
1546,1580,1635
1690,1745,1601
1690,1601,1635
1012,978,923
1012,923,957
957,1046,1012
1012,1046,1101
1389,1300,1334
1279,1368,1334
1190,1224,1279
1232,1143,1177
991,957,902
902,813,847
868,813,902
902,957,868
881,970,936
936,847,881
902,847,936
936,991,902
1169,1080,1114
1114,1148,1203
1148,1237,1203
1169,1114,1203
209,154,188
167,222,188
188,154,133
133,167,188
285,264,319
230,264,285
285,251,230
319,340,285
285,340,306
306,251,285
243,264,209
298,264,243
188,222,243
243,209,188
463,518,429
395,340,429
476,531,442
442,387,476
463,408,497
497,408,442
497,552,463
442,531,497
586,552,497
497,531,586
929,895,840
1257,1346,1312
1223,1257,1312
1312,1278,1223
1435,1346,1380
1435,1469,1524
1380,1469,1435
1689,1744,1600
1600,1744,1655
1723,1778,1634
1634,1778,1689
1634,1689,1600
1600,1545,1634
1448,1414,1359
1270,1304,1359
1359,1325,1270
1414,1325,1359
1812,1723,1668
1676,1621,1765
1686,1631,1775
1508,1453,1542
1508,1419,1453
1474,1419,1508
1563,1474,1508
1542,1453,1487
1487,1453,1398
1487,1576,1542
1123,1178,1089
1123,1089,1034
1212,1178,1123
1157,1212,1123
788,754,699
843,754,788
521,576,487
610,576,521
521,487,432
432,466,521
657,712,623
589,500,534
589,534,623
568,479,513
534,479,568
623,534,568
568,657,623
1639,1605,1550
1694,1605,1639
1639,1550,1584
1584,1728,1639
1639,1783,1694
1427,1461,1516
1550,1605,1516
1516,1461,1550
1626,1592,1537
1537,1592,1503
1537,1503,1448
1393,1338,1427
1393,1304,1338
1359,1304,1393
1393,1448,1359
1283,1317,1372
1372,1461,1427
1427,1338,1372
1372,1338,1283
1372,1317,1406
1406,1461,1372
919,830,864
864,953,919
796,830,885
885,830,919
919,974,885
1330,1241,1275
1330,1296,1241
1385,1296,1330
1330,1419,1385
1364,1419,1330
1275,1364,1330
1063,1097,1152
1152,1118,1063
1063,1118,1029
1029,974,1063
1207,1118,1152
1173,1118,1207
1207,1262,1173
1207,1296,1262
1241,1296,1207
1152,1241,1207
1720,1576,1665
1665,1809,1720
1082,1116,1171
1260,1226,1171
1171,1226,1137
1171,1137,1082
1116,1205,1171
1171,1205,1260
1223,1278,1189
1189,1134,1223
1100,1134,1189
1189,1155,1100
1100,1155,1066
